Title,Author,Average Rating,Rating,Year Published,Edition
"Python For Data Analysis: The Ultimate and Definitive Manual to Learn Data Science and Coding With Python. Master The basics of Machine Learning, to Clean Code and Improve Artificial Intelligence",Matt Algore,3.33,3,0,5
Graphical Methods for Data Analysis,John M. Chambers,4.43,7,1983,5
"Beginning Excel What-If Data Analysis Tools: Getting Started with Goal Seek, Data Tables, Scenarios, and Solver",Paul  Cornell,4.00,1,2005,10
"Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows, from data collection to visualization",Julio Cesar Rodriguez Martino,4.83,6,0,2
"Core Concepts in Data Analysis: Summarization, Correlation and Visualization: Undergraduate Topics in Computer Science",Boris Mirkin,3.62,8,2011,4
Visual Six Sigma: Making Data Analysis Lean,Ian Cox,3.33,9,2009,14
"Hands-On Data Analysis with Pandas: A Python Data Science Handbook for Data Collection, Wrangling, Analysis, and Visualization",Stefanie Molan,4.14,7,0,2
"Python Programming : The Easiest Python Crash Course to Go Deep Through The Main Applications As Web Development, Data Analysis, And Data Science Including Machine Learning (computer science Book 1)",Alan Grid,3.62,8,0,3
Microsoft Excel Data Analysis and Business Modeling (Office 2021 and Microsoft 365) (Business Skills),Wayne Winston,4.50,2,0,2
The SAGE Handbook of Qualitative Data Analysis,Uwe Flick,3.77,13,2013,5
Guide for compiling a comprehensive emission inventory / Monitoring and Data Analysis Division 1973 [Leather Bound],United States. Environmental Protection Agency. Monitoring and Data Analysis Division.,0.00,0,0,1
Data Analysis And Visualization A Complete Guide - 2023 Edition,The Art of Service - Data Analysis And Visualization Publishing,0.00,0,0,1
Frontiers in Massive Data Analysis,National Research Council,4.33,3,2013,2
Qualitative Data Analysis A Complete Guide - 2023 Edition,The Art of Service - Qualitative Data Analysis Publishing,0.00,0,0,1
The U.S. Brewing Industry: Data and Economic Analysis,Victor J. Tremblay,3.94,16,2004,8
Spatial Data Analysis: Theory and Practice,Robert P.   Haining,3.71,7,1999,12
"An Introduction to Survey Research, Polling, and Data Analysis",Herbert F. Weisberg,3.67,6,1989,8
"Predictive Analytics: The Secret to Predicting Future Events Using Big Data and Data Science Techniques Such as Data Mining, Predictive Modelling, Statistics, Data Analysis, and Machine Learning",Richard Hurley,4.17,6,0,3
Statistics for Beginners: Make Sense of Basic Concepts and Methods of Statistics and Data Analysis for Your Everyday Needs.,Shlomo Simanovsky,4.14,7,2009,1
Data Analysis with R,Tony Fischetti,3.73,11,0,6
Time Series Data Analysis Using EViews,I. Gusti Ngurah Agung,4.00,6,2008,5
"Core Concepts in Data Analysis: Summarization, Correlation and Visualization: Undergraduate Topics in Computer Science",Boris Mirkin,3.62,8,2011,4
"Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows, from data collection to visualization",Julio Cesar Rodriguez Martino,4.83,6,0,2
